Hasse Diagram of [(4, 1), (4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F,E,E,C
Hasse Diagram of [(2, 3), (2, 4), (3, 2), (3, 4), (4, 1), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,C,C
Hasse Diagram of [(2, 3), (2, 4), (3, 2), (3, 4), (4, 1), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (4, 3), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (4, 3), (4, 4), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 2), (3, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,F,E,C
Hasse Diagram of [(2, 2), (2, 3), (3, 3), (4, 3), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(3, 2), (3, 3), (4, 3), (5, 1), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 2), (4, 1), (4, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (4, 1), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,C
Hasse Diagram of [(1, 4), (2, 1), (2, 2), (2, 3), (3, 2), (3, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (3, 4), (5, 2), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C,C,C
Hasse Diagram of [(2, 4), (2, 5), (3, 1), (3, 2), (3, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E
Hasse Diagram of [(4, 1), (4, 2), (4, 3), (4, 4), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,E,C
Hasse Diagram of [(3, 2), (3, 3), (3, 4), (4, 1), (4, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 3), (2, 4), (3, 2), (3, 4), (4, 1), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (5, 1), (5, 3), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (4, 2), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,E
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (4, 4), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 4), (4, 1), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 2), (3, 4), (4, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(1, 4), (4, 1), (4, 2), (4, 3), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 4), (4, 2), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (3, 4), (4, 2), (4, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F,C
Hasse Diagram of [(2, 2), (2, 3), (4, 1), (4, 2), (4, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,F
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 3), (4, 1), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 3), (2, 4), (2, 5), (3, 4), (4, 2), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 4), (4, 2), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(1, 4), (4, 1), (4, 2), (4, 3), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (2, 5), (3, 4), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 4), (4, 1), (4, 2), (4, 3), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(3, 2), (3, 3), (3, 4), (4, 1), (4, 3), (4, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(2, 2), (2, 3), (3, 3), (5, 1), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(1, 3), (3, 1), (3, 2), (3, 3), (4, 2), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(1, 4), (3, 1), (3, 2), (3, 3), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C
Hasse Diagram of [(1, 4), (3, 1), (3, 2), (3, 3), (4, 2), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (3, 4), (5, 3), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C,C,C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,C,C
Hasse Diagram of [(2, 2), (2, 3), (3, 3), (5, 1), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(1, 4), (4, 1), (4, 2), (4, 3), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(1, 4), (3, 1), (3, 2), (3, 3), (4, 1), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (4, 1), (4, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(3, 2), (3, 3), (3, 4), (4, 3), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 3), (2, 4), (3, 4), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 4), (3, 1), (3, 2), (3, 3), (4, 1), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 1), (3, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(3, 2), (3, 3), (4, 1), (4, 2), (4, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,F
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (4, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,E
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 3), (3, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F,C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (4, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,C
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (3, 4), (5, 3), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C,C,C,C
Hasse Diagram of [(3, 2), (3, 3), (4, 3), (5, 1), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (3, 4), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,E
Hasse Diagram of [(2, 2), (2, 3), (3, 3), (4, 3), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E,E
Hasse Diagram of [(2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 3), (4, 2), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,E,E
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (4, 1), (4, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C
Hasse Diagram of [(1, 3), (3, 1), (3, 2), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 2), (2, 3), (3, 1), (3, 3), (4, 1), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (3, 4), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,C
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (2, 5), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E
Hasse Diagram of [(2, 3), (2, 4), (3, 2), (3, 4), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 3), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 2), (3, 3), (4, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,F,C,E
Hasse Diagram of [(3, 2), (3, 3), (3, 4), (4, 1), (4, 3), (4, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(2, 3), (2, 4), (3, 4), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 5), (3, 1), (3, 2), (3, 3), (3, 4), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(1, 4), (2, 2), (2, 3), (3, 3), (4, 1), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 4), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(2, 2), (2, 3), (3, 3), (4, 1), (4, 2), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(1, 2), (3, 1), (3, 2), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 2), (3, 1), (3, 2), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 4), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 1), (3, 3), (4, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(1, 3), (3, 1), (3, 2), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 5), (3, 2), (3, 3), (3, 4), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E
Hasse Diagram of [(4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E
Hasse Diagram of [(3, 2), (3, 3), (3, 4), (5, 1), (5, 2), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(2, 3), (3, 1), (3, 2), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 2), (3, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F,C
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (3, 4), (4, 2), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,E,C
Hasse Diagram of [(1, 4), (3, 1), (3, 2), (3, 3), (4, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 2), (4, 1), (4, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 3), (4, 1), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(1, 4), (2, 1), (2, 2), (2, 3), (4, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F
Hasse Diagram of [(2, 2), (2, 3), (4, 3), (5, 1), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 3), (4, 1), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 2), (4, 1), (4, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (5, 2), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F,C
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (4, 1), (4, 4), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C
Hasse Diagram of [(2, 3), (3, 1), (3, 2), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 2), (2, 3), (3, 1), (3, 2), (3, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,E
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 4), (4, 1), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 3), (4, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,E
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (4, 1), (4, 4), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 1), (3, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,E
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 1), (3, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F
Hasse Diagram of [(4, 2), (4, 3), (4, 4), (5, 1), (5, 2), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(4, 1), (4, 2), (4, 3), (4, 4), (5, 3), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F,C,C
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (4, 2), (4, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,C,F,E
Hasse Diagram of [(3, 4), (4, 1), (4, 2), (4, 3), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(3, 2), (3, 3), (3, 4), (5, 1), (5, 3), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (4, 2), (4, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,C,F,E
Hasse Diagram of [(2, 2), (2, 3), (3, 1), (3, 2), (3, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,E
Hasse Diagram of [(1, 4), (2, 2), (2, 3), (3, 1), (3, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(1, 4), (3, 1), (3, 2), (3, 3), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C,C
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (3, 4), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,C
Hasse Diagram of [(2, 2), (2, 3), (3, 3), (4, 2), (4, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(1, 4), (2, 1), (2, 2), (2, 3), (3, 3), (4, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C,C,C
Hasse Diagram of [(3, 2), (3, 3), (3, 4), (4, 1), (4, 4), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (4, 1), (4, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(1, 3), (2, 1), (2, 2), (3, 2), (4, 2), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 2), (2, 3), (4, 3), (5, 1), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 4), (3, 2), (3, 3), (4, 1), (4, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(1, 2), (1, 3), (3, 1), (3, 2), (3, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: D,E
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 2), (3, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F,C
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 4), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(1, 4), (3, 1), (3, 2), (3, 3), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C,C
Hasse Diagram of [(2, 2), (2, 3), (4, 3), (5, 1), (5, 2), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 2), (2, 3), (3, 1), (3, 3), (4, 1), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 3), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(4, 2), (4, 3), (4, 4), (5, 1), (5, 3), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,C,C
Hasse Diagram of [(2, 2), (2, 3), (3, 3), (4, 2), (4, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (3, 4), (4, 1), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C
Hasse Diagram of [(1, 2), (1, 3), (3, 1), (3, 2), (3, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: D,E
Hasse Diagram of [(2, 4), (3, 1), (3, 2), (3, 3), (4, 2), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (4, 1), (4, 2), (4, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(1, 4), (2, 1), (2, 2), (2, 3), (3, 2), (3, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(4, 1), (4, 2), (4, 3), (4, 4), (5, 2), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F,C
Hasse Diagram of [(1, 4), (3, 2), (3, 3), (4, 1), (4, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C,C,C
Hasse Diagram of [(2, 4), (2, 5), (4, 1), (4, 2), (4, 3), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E
Hasse Diagram of [(2, 3), (3, 1), (3, 2), (3, 3), (4, 2), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 1), (2, 2), (3, 2), (4, 2), (5, 1), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F,F
Hasse Diagram of [(2, 3), (2, 4), (3, 4), (4, 1), (4, 2), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 2), (3, 3), (4, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,F,C,E
Hasse Diagram of [(1, 4), (2, 1), (2, 2), (2, 3), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (3, 2), (4, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (4, 2), (5, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (3, 2), (4, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (3, 2), (5, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (3, 2), (4, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (4, 2), (5, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (3, 2), (5, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (3, 2), (4, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (3, 2), (5, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (3, 2), (4, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (3, 2), (5, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 3), (1, 4), (2, 1), (2, 2), (2, 4), (4, 2), (5, 2)]. Bounded: True. Ranked: False ||| Conjecture Result: Meets conditions
Hasse Diagram of [(1, 2), (1, 3), (1, 4), (4, 1), (4, 3), (4, 4), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,E,D,D,D
Hasse Diagram of [(4, 2), (4, 3), (4, 4), (4, 5), (5, 1), (5, 2), (5, 5)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,C
Hasse Diagram of [(2, 2), (2, 3), (3, 1), (3, 2), (3, 3), (4, 2), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,F,E
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (4, 1), (4, 3), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,F,E
Hasse Diagram of [(2, 3), (2, 4), (3, 2), (3, 4), (4, 1), (4, 2), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 1), (3, 3), (4, 1), (4, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,F,F,C,F
Hasse Diagram of [(2, 4), (3, 1), (3, 2), (3, 3), (3, 4), (4, 2), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(2, 2), (2, 3), (2, 4), (2, 5), (3, 1), (3, 5), (4, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (3, 1), (3, 3), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,F,F,F
Hasse Diagram of [(1, 4), (2, 1), (2, 2), (2, 3), (3, 2), (4, 2), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
Hasse Diagram of [(3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (5, 1), (5, 3)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,C,C,C
Hasse Diagram of [(2, 1), (2, 2), (2, 3), (2, 4), (3, 3), (3, 4), (4, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,C,C,C
Hasse Diagram of [(4, 1), (4, 2), (4, 3), (4, 4), (5, 1), (5, 3), (5, 4)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: C,C,C,C,C
Hasse Diagram of [(2, 2), (2, 3), (3, 3), (4, 1), (4, 2), (4, 3), (5, 1)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: F,F
Hasse Diagram of [(1, 3), (1, 4), (3, 1), (3, 2), (3, 3), (4, 2), (5, 2)]. Bounded: False. Ranked: False ||| Conjecture Result: Fails: E,E
